NN;N1;N2;N3;N4;N5;N6
4820;1;2;23;31;32;44
4821;19;26;30;32;35;45
4822;10;20;27;31;32;41
4823;7;21;34;35;38;39
4824;19;30;32;37;40;42
4825;4;13;18;34;35;36
4826;5;7;11;20;24;25
4827;14;15;16;24;31;40
4828;2;18;26;30;31;35
4829;1;5;7;32;40;42
4830;27;33;38;42;43;45
4831;3;16;19;25;32;37
4832;3;15;17;41;44;45
4833;2;10;16;20;24;45
4834;5;11;21;27;35;41
4835;1;5;9;14;25;38
4836;8;16;17;20;38;43
4837;1;3;8;18;23;44
4838;2;3;21;24;25;45
4839;13;18;20;23;24;35
4840;2;15;25;26;27;30
4841;20;24;25;30;36;42
4842;5;11;19;23;27;36
4843;3;9;15;16;21;40
4844;2;4;15;23;26;38
4845;4;15;26;34;36;39
4846;3;8;10;17;36;37
4847;12;21;22;23;34;43
4848;5;12;13;20;39;40
4849;1;10;38;39;41;43
4850;7;21;28;36;38;41
4851;4;14;27;37;42;45
4852;2;5;20;28;29;36
4853;4;9;10;22;26;39
4854;17;18;22;38;41;45
4855;19;24;27;29;36;45
4856;1;2;16;19;25;38
4857;6;18;22;24;35;43
4858;9;12;20;21;28;45
4859;15;23;29;32;35;41
4860;1;5;13;25;30;41
4861;10;13;14;22;40;43
4862;11;15;22;23;24;35
4863;1;8;11;20;37;45
4864;7;19;26;27;28;41
4865;8;13;34;39;41;44
4866;4;8;38;39;40;41
4867;6;7;13;15;29;45
4868;1;5;6;31;33;45
4869;4;5;12;22;32;33
4870;4;6;11;21;24;32
4871;12;19;26;34;43;45
4872;19;20;37;39;42;45
4873;2;18;21;22;25;43
4874;5;8;9;30;38;44
4875;8;15;16;23;28;31
4876;3;4;16;30;34;41
4877;2;17;32;34;36;43
4878;4;17;22;32;41;45
4879;13;18;33;38;40;41
4880;3;15;26;30;31;44
4881;5;16;21;30;39;44
4882;11;13;21;27;30;43
4883;2;5;12;14;15;16
4884;1;3;9;12;22;39
4885;8;10;14;20;43;45
4886;9;21;22;40;41;45
4887;4;11;17;25;33;39
4888;5;13;24;25;31;34
4889;2;20;25;29;33;42
4890;2;25;26;29;37;44
4891;3;23;29;37;38;45
4892;7;15;32;34;38;39
4893;11;12;22;24;34;42
4894;2;4;7;24;37;44
4895;6;9;16;18;23;42
4896;4;8;21;25;28;35
4897;7;13;15;16;19;23
4898;6;9;13;22;33;38
4899;2;13;14;17;39;45
4900;14;26;27;30;33;42
4901;3;8;15;16;23;27
4902;9;10;22;24;33;42
4903;11;17;21;32;34;40
4904;3;16;25;33;39;42
4905;27;28;34;37;38;39
4906;4;12;25;38;43;45
4907;11;16;27;28;40;42
4908;3;5;11;23;24;29
4909;22;34;36;37;39;44
4910;1;9;17;18;34;39
4911;15;31;33;38;40;44
4912;8;11;13;14;16;19
4913;2;7;23;27;42;44
4914;4;14;20;24;29;42
4915;7;18;23;24;42;43
4916;7;10;14;20;30;32
4917;1;17;26;28;32;45
4918;6;8;9;13;35;43
4919;3;18;24;30;33;41
4920;30;31;38;42;43;45
4921;11;14;20;29;37;40
4922;9;14;16;22;26;41
4923;4;7;12;13;30;44
4924;7;8;25;28;37;42
4925;12;13;14;16;33;37
4926;7;9;19;21;23;33
4927;1;6;10;15;21;34
4928;20;22;23;24;29;39
4929;8;13;14;21;22;29
4930;3;19;29;38;43;44
4931;21;25;37;39;44;45
4932;4;11;23;25;29;39
4933;6;11;18;19;25;34
4934;5;8;15;16;19;45
4935;5;9;20;24;33;42
4936;11;17;20;22;35;36
4937;2;8;9;23;35;39
4938;5;9;10;11;40;41
4939;15;19;27;32;41;42
4940;5;19;28;31;32;41
4941;18;33;34;39;40;41
4942;4;5;15;22;40;42
4943;11;14;21;23;29;40
4944;3;6;7;18;20;42
4945;9;10;11;14;20;40
4946;16;22;32;34;39;41
4947;3;8;9;28;37;41
4948;8;32;34;36;41;43
4949;5;16;18;30;34;35
4950;5;7;11;14;37;44
4951;2;20;27;38;39;41
4952;11;12;16;19;30;40
4953;22;29;31;35;40;42
4954;3;12;25;29;39;44
4955;3;5;9;19;26;44
4956;1;9;12;16;25;30
4957;3;10;11;23;32;36
4958;4;7;10;24;25;32
4959;10;16;29;32;33;36
4960;2;8;12;28;31;43
4961;1;6;11;19;40;42
4962;4;10;26;30;33;35
4963;5;12;14;20;28;30
4964;14;16;20;22;26;43
4965;5;14;16;27;39;43
4966;8;12;15;20;27;28
4967;12;14;24;28;41;42
4968;13;14;19;25;35;42
4969;4;6;17;27;33;38
4970;3;7;13;25;27;29
4971;7;18;26;28;34;42
4972;2;3;5;11;27;42
4973;2;11;16;19;35;44
4974;9;20;27;34;37;43
4975;16;17;23;25;27;29
4976;1;10;14;28;30;45
4977;3;5;8;21;31;38
4978;2;7;14;19;32;39
4979;6;20;24;28;33;42
4980;6;11;16;26;43;45
4981;2;14;35;38;39;40
4982;5;17;21;26;29;31
4983;3;6;18;30;37;44
4984;7;12;14;32;35;45
4985;1;17;18;19;38;42
